Dataset,File Name,Actor,Emotion,Path
TESS,OAF_back_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_back_angry.wav
TESS,OAF_bar_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bar_angry.wav
TESS,OAF_base_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_base_angry.wav
TESS,OAF_bath_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bath_angry.wav
TESS,OAF_bean_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bean_angry.wav
TESS,OAF_beg_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_beg_angry.wav
TESS,OAF_bite_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bite_angry.wav
TESS,OAF_boat_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_boat_angry.wav
TESS,OAF_bone_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bone_angry.wav
TESS,OAF_book_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_book_angry.wav
TESS,OAF_bought_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_bought_angry.wav
TESS,OAF_burn_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_burn_angry.wav
TESS,OAF_cab_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_cab_angry.wav
TESS,OAF_calm_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_calm_angry.wav
TESS,OAF_came_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_came_angry.wav
TESS,OAF_cause_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_cause_angry.wav
TESS,OAF_chain_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chain_angry.wav
TESS,OAF_chair_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chair_angry.wav
TESS,OAF_chalk_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chalk_angry.wav
TESS,OAF_chat_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chat_angry.wav
TESS,OAF_check_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_check_angry.wav
TESS,OAF_cheek_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_cheek_angry.wav
TESS,OAF_chief_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_chief_angry.wav
TESS,OAF_choice_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_choice_angry.wav
TESS,OAF_cool_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_cool_angry.wav
TESS,OAF_dab_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dab_angry.wav
TESS,OAF_date_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_date_angry.wav
TESS,OAF_dead_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dead_angry.wav
TESS,OAF_death_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_death_angry.wav
TESS,OAF_deep_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_deep_angry.wav
TESS,OAF_dime_angry.wav,Unknown,anger,C:\Users\ALL\Downloads\tess\TESS Toronto emotional speech set data\OAF_angry\OAF_dime_angry.wav
